This is my awesome data!,,,,,
,,,,,
,vegetable,variety,date,weight,units
,edamame,edamame,8/29/20,483,grams
,peppers,variety,8/29/20,627,grams
,jalapeño,giant,8/29/20,352,grams
,potatoes,purple,8/29/20,262,grams
,potatoes,yellow,8/29/20,716,grams
,carrots,Bolero,8/29/20,888,grams
,tomatoes,volunteers,8/29/20,566,grams
,carrots,greens,8/29/20,169,grams
,tomatoes,Old German,8/30/20,861,grams
,tomatoes,Brandywine,8/30/20,460,grams
,tomatoes,Amish Paste,8/30/20,2934,grams
,tomatoes,Cherokee Purple,8/30/20,599,grams
,tomatoes,Bonny Best,8/30/20,155,grams
,tomatoes,volunteers,8/30/20,822,grams
,tomatoes,Mortgage Lifter,8/30/20,589,grams
,tomatoes,Better Boy,8/30/20,393,grams
,tomatoes,Jet Star,8/30/20,752,grams
,tomatoes,grape,8/30/20,833,grams
,zucchini,Romanesco,9/1/20,2831,grams
,tomatoes,volunteers,9/1/20,1953,grams
,beans,Classic Slenderette,9/1/20,160,grams
,pumpkins,saved,9/1/20,4758,grams
,pumpkins,saved,9/1/20,2342,grams
,squash,Blue (saved),9/1/20,3227,grams
,squash,Blue (saved),9/1/20,5150,grams
,pumpkins,Cinderella's Carraige,9/1/20,7350,grams
,tomatoes,Old German,9/1/20,805,grams
,tomatoes,Brandywine,9/1/20,178,grams
,tomatoes,Cherokee Purple,9/1/20,201,grams
,tomatoes,Amish Paste,9/1/20,1537,grams
,tomatoes,Jet Star,9/1/20,773,grams
,tomatoes,Mortgage Lifter,9/1/20,1202,grams
,corn,Dorinny Sweet,9/2/20,798,grams
,peppers,green,9/2/20,370,grams
,jalapeño,giant,9/2/20,43,grams
,peppers,variety,9/2/20,60,grams
,tomatoes,grape,9/3/20,1131,grams
,tomatoes,volunteers,9/3/20,610,grams
,tomatoes,Big Beef,9/3/20,1265,grams
,jalapeño,giant,9/3/20,102,grams
,tomatoes,Amish Paste,9/4/20,2160,grams
,tomatoes,Better Boy,9/4/20,2899,grams
,tomatoes,grape,9/4/20,442,grams
,tomatoes,volunteers,9/4/20,1234,grams
,tomatoes,Jet Star,9/4/20,1178,grams
,tomatoes,Mortgage Lifter,9/4/20,255,grams
,tomatoes,Brandywine,9/4/20,430,grams
,onions,Delicious Duo,9/4/20,33,grams
,Swiss chard,Neon Glow,9/4/20,256,grams
